AFCR11,Híbrido,Ativa,"102,9","8,12","116,75","86,91",404446,133580000,"0,0",123566000,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield ok | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
AFOF11,Títulos e Val. Mob.,Ativa,"106,39","16,31","224,98","110,0",113886,82595600,"0,0",39421000,0,0,"0,0","0,0","0,0","0,0","20,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
ALZR11,Híbrido,Ativa,"102,51","5,6","135,89","94,64",1473160,574852000,"0,0",672768000,10,10,"128,0","222,0","7747,0","95015,0","30,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: ok | Ativos: ok | Vacancia: otima
AIEC11,Lajes Corporativas,Ativa,"100,23","4,52","95,41","86,46",411813,438302000,"0,0",504959000,2,2,"99,2","117,0","18920,0","22989,0","35,0",Div Yield muito baixo | P/VPC ok | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
BCRI11,Títulos e Val. Mob.,Ativa,"107,31","10,26","118,44","90,95",1189600,521136000,"0,0",479977000,0,0,"0,0","0,0","0,0","0,0","45,0",Div Yield otimo | P/VPC horrivel | Liquidez: ok | Ativos: medio | Vacancia: N/A
BNFS11,Outros,Ativa,"102,67","11,88","123,67","110,93",65840,85820000,"0,0",74399900,18,18,"97,6","876,0","8136,0","10293,0","30,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: otima
BBFI11,Lajes Corporativas,Passiva,"2524,36","305,5","2488,99","1680,09",434858,323439000,"0,391",342314000,2,2,"94,4","485,0","3537,0","86312,0","56,09",Div Yield otimo | P/VPC otimo | Liquidez: muito baixa | Ativos: medio | Vacancia: muito alta
BBFO11,Títulos e Val. Mob.,Passiva,"94,89","1,86","98,26","84,45",106901,340652000,"0,0",382110000,0,0,"0,0","0,0","0,0","0,0","20,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: N/A
BBPO11,Lajes Corporativas,Passiva,"100,62","12,91","149,57","107,64",3030110,1829970000,"0,0",1603710000,63,63,"93,3","434,0","4584,0","372421,0","55,0",Div Yield otimo | P/VPC horrivel | Liquidez: ok | Ativos: otimo | Vacancia: otima
BBRC11,Outros,Passiva,"112,59","11,64","151,1","113,31",243960,184520000,"0,0",179818000,20,20,"95,7","1332,0","11524,0","15319,0","55,0",Div Yield otimo | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
RDPD11,Títulos e Val. Mob.,Ativa,"98,84","4,87","89,49","73,65",60748,96474000,"0,0",107205000,0,0,"0,0","0,0","0,0","0,0","25,0",Div Yield muito baixo | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
RNDP11,Títulos e Val. Mob.,Ativa,"939,35","215,2","743,2","517,82",40817,79535900,"0,0",103951000,0,0,"0,0","0,0","0,0","0,0","20,0",Div Yield perigosamente alto | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
BLCP11,Outros,Ativa,"101,49","3,31","103,89","90,14",13404,199368000,"0,0",230780000,2,2,"113,5","51,0","5119,0","44200,0","35,0",Div Yield muito baixo | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
BLMG11,Outros,Ativa,"99,5","4,35","109,24","100,96",1132720,198493000,"0,0",200399000,0,0,"0,0","0,0","0,0","0,0","40,0",Div Yield muito baixo | P/VPC otimo | Liquidez: ok | Ativos: baixo | Vacancia: N/A
BLMR11,Títulos e Val. Mob.,Ativa,"95,37","1,0","96,41","86,39",916989,220961000,"0,0",245753000,0,0,"0,0","0,0","0,0","0,0","25,0",Div Yield muito baixo | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
BCIA11,Títulos e Val. Mob.,Ativa,"113,01","6,44","164,74","99,24",590332,375623000,"0,0",423032000,0,0,"0,0","0,0","0,0","0,0","30,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: N/A
BREV11,Híbrido,Ativa,"106,02","3,93","120,25","92,59",1756,97102000,"0,179",99664700,14,21,"97,3","767,0","15901,0","5944,0","28,21",Div Yield muito baixo | P/VPC otimo | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: ok
CARE11,Híbrido,Ativa,"1,62","0,01","0,94","0,54",157816,128784000,"0,0",290023000,2,1,"28,9","0,0","53245,0","700,0","15,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
BRCO11,Logística,Ativa,"108,45","6,09","123,65","107,35",2972040,1632020000,"0,042",1617590000,12,11,"96,6","239,0","3713,0","424608,0","54,58",Div Yield muito baixo | P/VPC otimo | Liquidez: ok | Ativos: otimo | Vacancia: otima
BRIM11,Residencial,Ativa,"990,02","0,0","1050,31","841,55",73,130382000,"0,0",135172000,7,0,"52,0","0,0","4921,0","13776,0","25,0",Div Yield muito baixo | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
BTLG11,Logística,Ativa,"100,88","5,21","117,24","83,52",5553990,1506980000,"0,0",1452980000,8,8,"64,6","116,0","4816,0","202105,0","40,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: otima | Ativos: otimo | Vacancia: otima
CRFF11,Títulos e Val. Mob.,Ativa,"92,64","5,36","87,98","73,09",57830,53823100,"0,0",64372600,0,0,"0,0","0,0","0,0","0,0","20,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
CXRI11,Títulos e Val. Mob.,Ativa,"94,35","16,11","180,3","95,0",52282,152786000,"0,0",151428000,0,0,"0,0","0,0","0,0","0,0","40,0",Div Yield perigosamente alto | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
CPFF11,Títulos e Val. Mob.,Ativa,"83,63","5,9","83,42","68,56",1254770,327041000,"0,0",338825000,0,0,"0,0","0,0","0,0","0,0","55,0",Div Yield ok | P/VPC otimo | Liquidez: ok | Ativos: medio | Vacancia: N/A
CPTS11,Títulos e Val. Mob.,Ativa,"95,11","6,42","102,86","85,92",7881130,1876100000,"0,0",1764920000,0,0,"0,0","0,0","0,0","0,0","60,0",Div Yield ok | P/VPC ok | Liquidez: otima | Ativos: otimo | Vacancia: N/A
CBOP11,Lajes Corporativas,Passiva,"90,78","6,05","76,43","65,98",101610,102304000,"0,105",129267000,1,30,"98,8","629,0","6286,0","16078,0","33,95",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: ok
HGFF11,Títulos e Val. Mob.,Ativa,"96,84","6,1","97,28","78,76",694206,248217000,"0,0",279434000,0,0,"0,0","0,0","0,0","0,0","25,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
HGLG11,Logística,Ativa,"146,94","10,2","180,81","145,2",8096150,3161940000,"0,053",2764940000,18,65,"68,6","58,0","1084,0","2001097,0","39,47",Div Yield muito baixo | P/VPC horrivel | Liquidez: otima | Ativos: otimo | Vacancia: otima
HGPO11,Lajes Corporativas,Passiva,"243,58","11,5","227,49","186,02",294198,359700000,"0,0",403920000,2,31,"99,8","1471,0","24182,0","14843,0","20,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: otima
HGRE11,Lajes Corporativas,Ativa,"169,21","7,67","153,1","129,3",2848740,1616910000,"0,22399999999999998",2158560000,22,159,"99,8","584,0","7950,0","202997,0","32,76",Div Yield muito baixo | P/VPC horrivel | Liquidez: ok | Ativos: otimo | Vacancia: ok
HGCR11,Títulos e Val. Mob.,Ativa,"104,67","6,89","108,88","90,41",3343510,1334370000,"0,0",1311090000,0,0,"0,0","0,0","0,0","0,0","65,0",Div Yield ok | P/VPC otimo | Liquidez: ok | Ativos: otimo | Vacancia: N/A
HGRU11,Híbrido,Ativa,"117,77","6,8","129,16","101,47",5644460,2236380000,"0,0",2211260000,81,81,"74,3","353,0","6977,0","238220,0","60,0",Div Yield muito baixo | P/VPC otimo | Liquidez: otima | Ativos: otimo | Vacancia: otima
DEVA11,Títulos e Val. Mob.,Ativa,"98,7","6,7","122,28","86,18",5596530,728210000,"0,0",633344000,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: otima | Ativos: ok | Vacancia: N/A
DOVL11,Lajes Corporativas,Ativa,"941,69","26,12","931,32","931,32",976,58000700,"0,624",60819300,2,17,"96,3","397,0","3346,0","16688,0","23,76",Div Yield muito baixo | P/VPC otimo | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: muito alta
ERCR11,,Passiva,"93718,01","1892,85","90000,0","90000,0",2143,213840000,"0,0",222781000,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield muito baixo | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
