AALR3,Análises e Diagnósticos,"8,21","13,54",1056360000,1645610000,4818140,"-10,28","0,9","-50,25","1,18","0,41","-33,01","-1,39","0,01","17,12","-78,28","-0,055","-0,87","9,95","0,16399999999999998","-0,023","-0,10800000000000001","-0,008","-0,009000000000000001","-0,087",2553050000,802102000,589254000,1176680000,"10,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Otimo
ABCB4,Bancos,"10,68","16,52",3308950000,N/A,13553100,"10,27","0,77",N/A,N/A,N/A,N/A,N/A,"0,033",N/A,N/A,"-0,34299999999999997","1,46","19,41",N/A,N/A,"0,0","0,0",N/A,"0,075",43296900000,0,4288260000,N/A,"30,0",P/L Bom | Patrim. Liq. nao disponivel | DY Ruim | P/VP Ruim
ABEV3,Cervejas e Refrigerantes,"10,73","16,72",236499000000,222501000000,405336000,"20,78","3,2","17,21","4,05","1,89","126,83","-16,09","0,033","11,88","16,19","0,061","0,72","4,69","0,536","0,235","0,201","0,11","0,156","0,154",125197000000,4792230000,-13998100000,73815600000,"25,0",P/L Ok | Divida Liq. negativa | DY Ruim | P/VP Ruim
HYPE3,Medicamentos e Outros Produtos,"26,04","35,82",19933800000,20703500000,121062000,"15,39","2,16","18,71","4,88","1,16","3,78","-181,14","0,037000000000000005","17,45","19,43","0,034","2,04","14,59","0,643","0,261","0,317","0,062","0,087","0,14",17249800000,5513050000,769751000,9240720000,"20,0",P/L Bom | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
IGBR3,Exploração de Imóveis,"1,62","18,3",153937000,1058080000,3156640,"0,0","-0,17",N/A,N/A,"0,81","-2,05","-0,14","0,0",N/A,N/A,"-0,239","0,0","-73,87",N/A,N/A,N/A,"0,0",N/A,N/A,191069000,904232000,904148000,-923772000,"10,0", | P/L zero | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
AFLT3,Energia Elétrica,"5,3","10,97",565242000,534772000,15216,"30,21","3,02","29,48","15,73","2,72","11,74","16,26","0,081","27,71","27,89","0,079","0,3","2,97","0,648","0,534","0,521","0,092","0,111","0,1",207783000,739000,-30470000,187459000,"40,0",P/L Ruim | Divida Liq. negativa | DY Otimo | P/VP Ruim
IGTA3,Exploração de Imóveis,"26,81","40,1",6149630000,8032960000,75329400,"30,41","1,96","19,44","9,1","0,9","5,94","-3,24","0,006","17,26","25,39","0,011000000000000001","1,15","17,77","0,593","0,46799999999999997","0,299","0,046","0,06","0,064",6860690000,3454530000,1883330000,3138570000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
INEP3,Máq. e Equip. Industriais,"4,9","34,3",230064000,965909000,1107000,"-0,54","-0,11","-0,79","31,55","0,17","-0,11","-0,07","0,0","-3,43","-3,3","-0,515","-51,86","-264,22","0,195","-40,193000000000005","-56,74","-0,21100000000000002","-0,231","0,196",1387070000,736340000,735845000,-2170940000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
AGRO3,Agricultura,"13,36","27,94",1818610000,2306180000,14770400,"9,32","1,58","9,69","2,26","0,84","7,94","-6,18","0,024","18,11","12,29","0,355","2,38","13,98","0,308","0,233","0,13699999999999998","0,086","0,099","0,17",2175980000,651392000,487571000,1147760000,"30,0",P/L Otimo | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
INEP4,Máq. e Equip. Industriais,"4,65","30,98",205497000,941342000,1358420,"-0,48","-0,09","-0,7","28,19","0,15","-0,1","-0,06","0,0","-3,34","-3,21","-0,515","-51,86","-264,22","0,195","-40,193000000000005","-56,74","-0,21100000000000002","-0,231","0,196",1387070000,736340000,735845000,-2170940000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
IRBR3,Seguradoras,"5,4","12,0",7848240000,N/A,266756000,"0,0","0,0",N/A,N/A,N/A,N/A,N/A,"0,031",N/A,N/A,N/A,"0,0","0,0",N/A,N/A,N/A,"0,0",N/A,N/A,0,0,0,0,"40,0", | P/L zero | Div. Liq e Patrim. Liq nao disponiveis | DY Ruim | P/VP zero
ITSA3,Bancos,"9,24","12,55",93275900000,94616900000,2050030,"13,22","1,63","142,19","15,86","1,28","21,72","-23,65","0,021","73,75","144,23","0,047","0,84","6,82","0,315","0,11199999999999999","1,249","0,009000000000000001","0,01","0,12300000000000001",72600000000,5701000000,1341000000,57343000000,"20,0",P/L Bom | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
ALPA3,Calçados,"14,51","38,47",18030000000,17580800000,181802,"128,61","6,11","32,5","5,36","3,74","12,86","20,41","0,0","24,54","31,69","-0,037000000000000005","0,24","5,01","0,523","0,165","0,038","0,115","0,152","0,048",4814590000,243863000,-449140000,2948730000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
ALPA4,Calçados,"17,6","42,97",20876200000,20427100000,60710600,"148,91","7,08","37,63","6,21","4,34","14,89","23,63","0,0","28,52","36,82","-0,037000000000000005","0,24","5,01","0,523","0,165","0,038","0,115","0,152","0,048",4814590000,243863000,-449140000,2948730000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
ITSA4,Bancos,"7,39","12,1",85790300000,87131300000,371618000,"12,16","1,5","130,78","14,59","1,18","19,97","-21,75","0,023","67,91","132,82","0,047","0,84","6,82","0,315","0,11199999999999999","1,249","0,009000000000000001","0,01","0,12300000000000001",72600000000,5701000000,1341000000,57343000000,"20,0",P/L Bom | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
ALSO3,Exploração de Imóveis,"21,16","32,32",6979200000,5594500000,40746200,"41,28","1,07","20,48","8,75","0,64","4,89","-4,92","0,0","10,63","16,42","0,275","0,64","24,63","0,662","0,42700000000000005","0,254","0,031","0,036000000000000004","0,026000000000000002",10887600000,0,-1384700000,6544850000,"30,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Otimo
ALUP3,Energia Elétrica,"7,9","11,19",7199920000,13614100000,118309,"12,02","1,31","3,24","1,41","0,35","3,38","-0,86","0,027999999999999997","5,77","6,13","0,392","0,68","6,26","0,462","0,435","0,26899999999999996","0,107","0,12300000000000001","0,109",20829400000,8776490000,6414200000,5501730000,"10,0",P/L Bom | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
ALUP4,Energia Elétrica,"5,27","9,06",6892230000,13306400000,183595,"11,51","1,25","3,11","1,35","0,33","3,24","-0,82","0,028999999999999998","5,64","6,0","0,392","0,68","6,26","0,462","0,435","0,26899999999999996","0,107","0,12300000000000001","0,109",20829400000,8776490000,6414200000,5501730000,"10,0",P/L Bom | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
AMAR3,"Tecidos, Vestuário e Calçados","3,76","9,9",1486270000,2482900000,26736700,"-3,61","1,45","17,27","0,66","0,49","4,24","-3,03","0,0","6,41","28,84","-0,055","-1,57","3,92","0,39799999999999996","0,038","-0,21","0,028999999999999998","0,035","-0,401",3008530000,1315400000,996633000,1025060000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
ITUB3,Bancos,"19,27","28,73",239221000000,N/A,18184600,"12,62","1,75",N/A,N/A,N/A,N/A,N/A,"0,02",N/A,N/A,"-0,3","1,93","13,94",N/A,N/A,"0,0","0,0",N/A,"0,139",210399000000,0,136699000000,N/A,"30,0",P/L Bom | Patrim. Liq. nao disponivel | DY Ruim | P/VP Ruim
ANIM3,Serviços Educacionais,"5,19","12,87",3356150000,3895680000,26968800,"-92,38","2,03","16,33","2,46","0,91","3,87","-4,59","0,0","11,16","18,96","0,096","-0,09","4,1","0,495","0,15","-0,026000000000000002","0,055","0,07200000000000001","-0,022000000000000002",3702600000,1329280000,539526000,1656830000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
APER3,Corretoras de Seguros,"11,96","60,39",524406000,472159000,3018810,"5141,24","2,93","-1570,08","5,2","1,78","14,47","-14,2","0,001","73,43","-1413,65","-0,081","0,01","15,6","1,0","-0,003","0,001","-0,001","-0,001","0,001",294549000,0,-52247000,179079000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
APTI4,Agricultura,"0,0","0,0",66500000,74491000,0,"1,18","0,22","-2,41","3,41","0,14","3,25","-0,6","0,0","-2,5","-2,7","-0,08900000000000001","2955,68","15616,9","0,5479999999999999","-1,412","2,877","-0,055999999999999994","-0,062","0,18899999999999997",491357000,52559000,7991000,296722000,"30,0",P/L Otimo | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
ARZZ3,"Tecidos, Vestuário e Calçados","32,71","78,49",7272070000,7345170000,52463200,"149,68","5,39","115,38","4,57","2,57","11,13","89,87","0,006999999999999999","50,96","116,54","0,07400000000000001","0,49","13,54","0,475","0,04","0,031","0,022000000000000002","0,034","0,036000000000000004",2832550000,634269000,73104000,1348600000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
AZEV3,Construção Pesada,"1,12","12,15",108900000,139458000,760610,"0,0","-0,41",N/A,N/A,"1,76","-0,55","-0,38","0,0",N/A,N/A,"-0,449","0,0","-13,3",N/A,N/A,N/A,"0,0",N/A,N/A,61710000,30748000,30558000,-263291000,"10,0", | P/L zero | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
AZEV4,Construção Pesada,"1,32","4,9",69102000,99660000,965121,"0,0","-0,26",N/A,N/A,"1,12","-0,35","-0,24","0,0",N/A,N/A,"-0,449","0,0","-13,3",N/A,N/A,N/A,"0,0",N/A,N/A,61710000,30748000,30558000,-263291000,"10,0", | P/L zero | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
B3SA3,Serviços Financeiros Diversos,"29,26","65,93",113004000000,104557000000,904398000,"27,21","4,61","19,89","12,12","2,44","15,22","-23,99","0,039","15,56","18,41","0,4","2,03","12,0","0,899","0,609","0,445","0,12300000000000001","0,18600000000000003","0,16899999999999998",46332800000,7059770000,-8447540000,24510000000,"25,0",P/L Ok | Divida Liq. negativa | DY Ruim | P/VP Ruim
ITUB4,Bancos,"20,24","32,58",266476000000,N/A,1241140000,"14,05","1,95",N/A,N/A,N/A,N/A,N/A,"0,018000000000000002",N/A,N/A,"-0,3","1,93","13,94",N/A,N/A,"0,0","0,0",N/A,"0,139",210399000000,0,136699000000,N/A,"30,0",P/L Bom | Patrim. Liq. nao disponivel | DY Ruim | P/VP Ruim
BAHI3,Serviços Educacionais,"50,38","118,84",160336000,168581000,68319,"-4,71","1,9","62,7","1,01","0,31","-1,84","-0,43","0,0","28,76","65,93","0,73","-15,2","37,55","0,413","0,016","-0,21","0,005","0,005","-0,405",520677000,43126000,8245000,84210000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
BALM3,Equipamentos,"11,33","24,7",160230000,164471000,27004,"10,16","1,4","12,4","1,06","0,73","2,16","3,28","0,016","10,34","12,73","0,087","1,61","11,65","0,49700000000000005","0,086","0,083","0,059000000000000004","0,069","0,138",219614000,31775000,4241000,114153000,"20,0",P/L Bom | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
BALM4,Equipamentos,"8,99","17,99",132202000,136443000,33374,"8,39","1,16","10,23","0,88","0,6","1,78","2,71","0,019","8,57","10,56","0,087","1,61","11,65","0,49700000000000005","0,086","0,083","0,059000000000000004","0,069","0,138",219614000,31775000,4241000,114153000,"40,0",P/L Otimo | Divida Liq./Patrim Bom | DY Ruim | P/VP Ok
